t,x,v,a,phi,phi_v,phi_a
3.0500000000000003,0.3055814374818365,0.2736471862154329,0.13957785593028682,3.819767968522956,3.420589827692911,1.744723199128595
3.06,0.3083318661727115,0.27504286908750086,0.1395568053157742,3.8541483271588937,3.438035863593761,1.7444600664471732
3.0700000000000003,0.311096249395929,0.27643832232174836,0.13953192868094988,3.888703117449112,3.4554790290218547,1.7441491085118832
3.08,0.31387458447254024,0.27783350766111986,0.13950322670781556,3.923432305906752,3.472918845763999,1.7437903338477057
3.09,0.3166668683410993,0.2792283868559047,0.1394707001832557,3.95833585426374,3.4903548356988088,1.7433837522906837
3.1,0.31947309755774717,0.280622921664785,0.13943434999899584,3.993413719471838,3.5077865208098125,1.7429293749874342
3.11,0.322293268296306,0.2820170738558846,0.1393941771515944,4.028665853703824,3.5252134231985575,1.742427214394926
3.12,0.3251273763483842,0.28341080520781686,0.1393501827424093,4.064092204354801,3.542635065097711,1.7418772842801467
3.13,0.32797541712349154,0.2848040775107328,0.13930236797757845,4.099692714043643,3.5600509688841604,1.7412795997197472
3.14,0.33083738564916526,0.28619685256736843,0.13925073416795608,4.1354673206145645,3.577460657092106,1.7406341770994205
3.15,0.3337132765711061,0.2875890921940919,0.13919528272911819,4.171415957138826,3.594863652426149,1.7399410341139676
3.16,0.3366030841533257,0.2889807582219508,0.13913601518129037,4.20753855191657,3.6122594777743853,1.7392001897661435
3.17,0.3395068022783028,0.2903718124977177,0.13907293314931735,4.2438350284787845,3.6296476562214717,1.738411664366457
3.18,0.34242442444715226,0.29176221688493714,0.13900603836263237,4.280305305589401,3.6470277110617144,1.7375754795329046
3.19,0.34535594377980194,0.29315193326497035,0.13893533265518787,4.316949297247523,3.6643991658121298,1.7366916581898373
3.2,0.3483013530151824,0.2945409235380409,0.1388608179654166,4.353766912689778,3.681761544225511,1.7357602245677173
3.21,0.3512606445114252,0.2959291496242787,0.13878249633617612,4.390758056392813,3.699114370303484,1.7347812042022293
3.22,0.3542338102460728,0.2973165734647644,0.13870036991469048,4.427922628075909,3.7164571683095557,1.7337546239336143
3.23,0.35722084181629854,0.2987031570225725,0.13861444095250308,4.465260522703731,3.7337894627821564,1.7326805119062705
3.24,0.3602217304391367,0.3000888622838145,0.13852471180539616,4.502771630489208,3.751110778547681,1.7315588975674423
3.25,0.3632364669517235,0.3014736512586804,0.13843118493333528,4.540455836896542,3.7684206407335052,1.7303898116666883
3.2600000000000002,0.3662650418115483,0.3028574859824812,0.13833386290041383,4.578313022644353,3.785718574781015,1.7291732862551923
3.27,0.3693074450967152,0.3042403285166887,0.1382327483747614,4.616343063708938,3.803004106458609,1.7279093546845203
3.2800000000000002,0.372363666506215,0.3056221409499764,0.13812784412848833,4.6545458313276855,3.8202767618747053,1.7265980516060875
3.29,0.37543369536020754,0.30700288539925846,0.1380191530375885,4.692921192002593,3.837536067490731,1.72523941296987
3.3000000000000003,0.37851752060031485,0.3083825240107282,0.1379066780818894,4.731469007503933,3.8547815501341027,1.7238334760236285
3.31,0.3816151307899239,0.30976101896089625,0.13779042234495775,4.7701891348740455,3.8720127370112034,1.7223802793119525
3.3200000000000003,0.38472651411450015,0.31113833245762734,0.1376703890139802,4.8090814264312485,3.889229155720342,1.7208798626747512
3.33,0.38785165838191193,0.31251442674117585,0.1375465813797383,4.848145729773896,3.9064303342646984,1.7193322672467426
3.34,0.3909905510227641,0.3138892640852221,0.13741900283650577,4.8873818877845485,3.9236158010652766,1.717737535456343
3.35,0.39414317909074315,0.31526280679790597,0.13728765688188482,4.9267897386342865,3.9407850849738253,1.7160957110235797
3.36,0.3973095292629717,0.3166350172228598,0.13715254711680058,4.966369115787145,3.9579377152857482,1.714406838959981
3.37,0.4004895878403741,0.318005857740242,0.1370136772453595,5.0061198480046745,3.975073221753025,1.7126709655669536
3.38,0.4036833407480518,0.319375290767767,0.13687105107473285,5.046041759350645,3.9921911345970873,1.7108881384341856
3.39,0.40689077353566916,0.32074327876173664,0.13672467251510945,5.086134669195863,4.009290984521709,1.7090584064388903
3.4,0.4101118713778499,0.3221097842180692,0.13657454557952087,5.1263983922231215,4.026372302725865,1.707181819744008
3.41,0.41334661907458314,0.32347476967332706,0.13642067438377203,5.166832738432288,4.043434620916589,1.7052584297971407
3.42,0.4165950010516406,0.3248381977057446,0.13626306314633296,5.207437513145506,4.060477471321808,1.7032882893291301
3.43,0.4198570013610031,0.3262000309362537,0.13610171618817501,5.248212517012538,4.077500386703171,1.7012714523521932
